Name,Type,Address,City,State,Zip Code,Accepts Food Donations?,Website,Unique ID,Latitude,Longitude,Approximate distance,x,y
Seventh Day Adventist Adamsvil,Food Pantry,4205 Main Street,Adamsville,AL,35005,No,,,33.594079,-86.946291,0 km,-9678816.785,3974426.131
Alabaster Church of God,Food Pantry,530 1st Ave W,Alabaster,AL,35007,No,,,33.244632,-86.822299,0 km,-9665014.07,3927819.982
First Baptist Church Alabaster,Food Pantry,903 3rd Avenue Northwest,Alabaster,AL,35007,,fbcalabaster.org/community-ministry,,33.246735,-86.827211,0 km,-9665560.96,3928099.889
Mercy Outreach Mission,Food Pantry,501 North Broadway Street,Ashford,AL,36312,Yes,,,31.184785,-85.235898,0 km,-9488416.707,3656770.304
Food Bank of East Alabama,Food Bank,375 Industry Dr.,Auburn,AL,36832,,foodbankofeastalabama.com/,,32.597910,-85.529091,0 km,-9521054.858,3842054.053
Auburn Cares Food Pantry,Food Pantry,300 Roosevelt Drive,Auburn,AL,36849,Yes,aucares.auburn.edu/student-services/campus-food-pantry/,,32.601235,-85.482829,0 km,-9515905.007,3842493.461
I.J. Community Development,Food Pantry,1027 11th St. N,Bessemer,AL,35020,No,,,33.399056,-86.970993,0 km,-9681566.599,3948392.541
Triumph Youth & Adult CDC,Food Pantry,1431 13th Avenue North,Bessemer,AL,35020,Unsure,www.triumphchurchband25.org/home,,33.404767,-86.969320,0 km,-9681380.395,3949154.095
The Grace Place,Food Pantry,1630 Powder Plant Rd,Bessemer,AL,35022,Yes,www.thegraceplaceonline.com/ministries,,33.349705,-87.015256,0 km,-9686494.034,3941813.925
The Foundry Rescue Mission,Food Pantry,1804 6th Avenue North,Bessemer,AL,35020,,foundryministries.com/get-involved/contact/,,33.403673,-86.957766,0 km,-9680094.265,3949008.172
Ministries of Deliverance,Food Pantry,2531 9th Avenue North,Bessemer,AL,35020,No,,,33.414103,-86.954410,0 km,-9679720.632,3950399.022
House of Love,Food Pantry,1001 35th St Ensley,Birmingham,AL,35218,No,feedingal.org/agency-finder-tool/,,33.496700,-86.902220,0 km,-9673910.846,3961419.639
